kr_1_test,kr_1_duration,kr_1_1,kr_1_2,kr_1_3,kr_1_3_rescale,kr_1_4a,kr_1_4b,kr_1_open,kr_1_sum,fisher,suspected,k_11_lms,k_12_lms,k_13_lms,k_14_lms,kr_2_test,kr_2_duration,kr_2_1,kr_2_2,kr_2_3,k2_open,k2_sum,domashka,auditorka,exam,exam_10,unround,Itog,V38,kr3_min,kr3_1,kr3_2,kr3_3,kr3_4,kr3_5,kr3_sum,sex,ip
16,44 мин. 14 сек.,10,5,15,15,10,,40,88,"0,55",0,10,5,15,10,14,50 мин. 37 сек.,6,4,6,16,63,7,7,3,1,"5,503",6,,0,1,0,0,0,0,1,male,0
8,45 мин.,10,5,0,0,7,,22,46,"0,52",0,10,5,0,7,15,1 ч. 9 мин.,0,0,0,0,50,7,8,15,4,"4,940",5,,10,0,0,0,0,0,10,female,0
12,45 мин. 1 сек.,9,5,15,15,10,,39,75,"0,48",1,9,5,15,10,13,1 ч. 10 мин.,3,2,2,7,50,10,10,14,4,"6,138",6,,10,0,0,0,5,0,15,male,0
19,36 мин. 6 сек.,10,5,11,7,0,0,22,"79,3","0,72",0,10,5,7,0,18,1 ч. 3 мин.,4,4,1,9,69,10,10,22,6,"7,379",7,,35,5,5,3,3,15,66,female,1
14,45 мин.,0,1,0,0,3,,4,46,"0,91",0,0,1,0,3,5,1 ч. 9 мин.,0,0,0,0,17,7,7,7,3,"3,683",4,,9,0,0,0,0,0,9,female,0
18,43 мин. 45 сек.,10,5,13,9,0,5,29,"82,7","0,65",0,10,5,9,5,20,1 ч. 6 мин.,8,9,4,21,88,10,10,27,8,"8,593",9,,25,5,3,5,5,15,58,female,1
12,45 мин. 1 сек.,0,5,10,10,0,,15,51,"0,71",0,0,5,10,0,19,57 мин. 6 сек.,10,10,10,30,93,3,,20,6,"6,060",6,,,,,,,,0,male,0
8,43 мин. 3 сек.,10,5,1,1,10,,26,50,"0,48",1,10,5,1,10,7,1 ч. 9 мин.,4,0,0,4,27,9,6,15,4,"4,518",5,,0,0,0,0,0,0,0,female,0
11,34 мин. 29 сек.,5,5,15,15,8,,33,66,"0,50",0,5,5,15,8,11,1 ч. 4 мин.,0,6,0,6,43,10,10,15,4,"5,698",6,,20,5,2,3,0,14,44,male,0
19,42 мин. 3 сек.,10,5,13,13,10,,38,95,"0,60",0,10,5,13,10,17,1 ч. 7 мин.,4,6,0,10,67,10,10,16,4,"7,155",7,,0,0,0,0,0,0,0,male,0
13,40 мин. 6 сек.,10,5,7,5,0,0,20,"58,7","0,66",0,10,5,5,0,17,1 ч. 10 мин.,0,7,0,7,64,9,9,17,5,"6,223",6,,20,1,1,4,2,11,39,female,1
16,34 мин. 33 сек.,10,5,3,3,7,,25,73,"0,66",0,10,5,3,7,16,1 ч. 3 мин.,10,4,5,19,72,10,10,28,7,"7,588",8,,25,5,10,5,5,15,65,female,0
12,40 мин. 27 сек.,10,0,2,1,0,5,16,"52,3","0,69",0,10,0,1,5,18,1 ч. 9 мин.,0,10,0,10,70,7,7,14,4,"5,614",6,,5,1,2,0,2,0,10,female,1
18,40 мин. 23 сек.,10,5,12,8,0,5,28,"82,0","0,66",0,10,5,8,5,20,1 ч. 6 мин.,10,4,3,17,84,10,10,25,9,"8,765",9,,30,5,0,6,4,26,71,male,1
8,44 мин. 35 сек.,5,2,0,0,0,,7,31,"0,77",0,5,2,0,0,2,1 ч. 3 мин.,1,0,0,1,8,0,0,7,1,"1,373",1,,,,,,,,0,male,0
14,41 мин. 45 сек.,0,5,5,5,10,,20,62,"0,68",0,0,5,5,10,16,1 ч. 10 мин.,6,2,10,18,71,10,10,24,8,"7,558",8,,0,5,4,4,1,1,15,female,0
8,44 мин. 36 сек.,10,5,0,0,7,,22,46,"0,52",0,10,5,0,7,9,1 ч. 10 мин.,0,0,1,1,31,10,10,18,5,"5,118",5,,19,2,0,0,0,0,21,female,0
,"",0,5,0,0,10,,15,15,"0,00",1,0,5,0,10,,"",4,10,2,16,16,7,7,,7,"4,003",4,,10,0,0,0,0,1,11,male,0
13,40 мин. 23 сек.,0,5,10,10,7,,22,61,"0,64",0,0,5,10,7,13,1 ч. 9 мин.,6,0,2,8,51,10,10,12,3,"5,480",5,,19,0,0,0,0,0,19,female,0
16,36 мин. 35 сек.,10,5,8,5,0,5,25,"73,3","0,65",0,10,5,5,5,20,1 ч. 8 мин.,10,8,1,19,86,10,10,24,9,"8,582",9,,30,5,9,5,5,28,82,male,1
13,42 мин. 46 сек.,0,5,0,0,10,,15,54,"0,72",0,0,5,0,10,12,1 ч. 7 мин.,,,,0,40,9,5.4,11,3,"4,655",5,,0,0,0,0,0,0,0,male,0
15,38 мин. 38 сек.,10,5,8,5,0,7,27,"72,3","0,62",0,10,5,5,7,12,1 ч. 9 мин.,4,8,0,12,52,9,9,15,4,"5,969",6,,15,0,2,1,0,0,18,female,1
13,45 мин.,10,5,15,15,4,,34,73,"0,53",0,10,5,15,4,7,1 ч. 10 мин.,2,0,10,12,35,8,6,5,1,"4,370",4,,20,5,10,5,0,16,56,female,0
